WKT,city,id,latitude,longitude
"POINT (-76.48448 39.3066)",Back River Highlands,KMDBACKR4,39.3066,-76.48448
"POINT (-76.69485 39.27774)",Baltimore,KMDBALTI100,39.27774,-76.69485
"POINT (-76.6565 39.37076)",Baltimore,KMDBALTI116,39.37076,-76.6565
"POINT (-76.69712 39.23659)",Halethorpe,KMDBALTI12,39.23659,-76.69712
"POINT (-76.70229 39.28932)",Baltimore,KMDBALTI123,39.28932,-76.70229
"POINT (-76.66317 39.37075)",Baltimore,KMDBALTI125,39.37075,-76.66317
"POINT (-76.58381 39.29284)",Baltimore,KMDBALTI126,39.29284,-76.58381
"POINT (-76.51258 39.35418)",Baltimore,KMDBALTI135,39.35418,-76.51258
"POINT (-76.52314 39.34353)",Baltimore,KMDBALTI136,39.34353,-76.52314
"POINT (-76.53079 39.34326)",Baltimore,KMDBALTI147,39.34326,-76.53079
"POINT (-76.64006 39.32448)",Baltimore,KMDBALTI149,39.32448,-76.64006
"POINT (-76.61694 39.27997)",Baltimore/Inner Harbor,KMDBALTI156,39.27997,-76.61694
"POINT (-76.50096 39.35017)",Baltimore,KMDBALTI157,39.35017,-76.50096
"POINT (-76.68687 39.37398)",Baltimore,KMDBALTI159,39.37398,-76.68687
"POINT (-76.58223 39.28431)",Baltimore,KMDBALTI169,39.28431,-76.58223
"POINT (-76.56825 39.28883)",Baltimore,KMDBALTI171,39.28883,-76.56825
"POINT (-76.58504 39.28641)",Baltimore,KMDBALTI177,39.28641,-76.58504
"POINT (-76.6676 39.32964)",Baltimore,KMDBALTI179,39.32964,-76.6676
"POINT (-76.52321 39.35693)",Baltimore,KMDBALTI180,39.35693,-76.52321
"POINT (-76.56985 39.27108)",Baltimore,KMDBALTI181,39.27108,-76.56985
"POINT (-76.5818 39.37521)",Baltimore,KMDBALTI183,39.37521,-76.5818
"POINT (-76.59278 39.28172)",Baltimore,KMDBALTI184,39.28172,-76.59278
"POINT (-76.55515 39.35859)",Baltimore,KMDBALTI185,39.35859,-76.55515
"POINT (-76.69367 39.35362)",Baltimore,KMDBALTI189,39.35362,-76.69367
"POINT (-76.6436 39.33919)",Baltimore,KMDBALTI191,39.33919,-76.6436
"POINT (-76.58482 39.28694)",Baltimore,KMDBALTI192,39.28694,-76.58482
"POINT (-76.65949 39.37499)",Baltimore,KMDBALTI193,39.37499,-76.65949
"POINT (-76.56007 39.35597)",Baltimore,KMDBALTI196,39.35597,-76.56007
"POINT (-76.6047 39.2981)",Baltimore,KMDBALTI198,39.2981,-76.6047
"POINT (-76.592 39.373)",Baltimore,KMDBALTI202,39.373,-76.592
"POINT (-76.608 39.263)",Baltimore,KMDBALTI204,39.263,-76.608
"POINT (-76.555 39.286)",Baltimore,KMDBALTI212,39.286,-76.555
"POINT (-76.625 39.323)",Baltimore,KMDBALTI215,39.323,-76.625
"POINT (-76.585 39.374)",Baltimore,KMDBALTI218,39.374,-76.585
"POINT (-76.573 39.327)",Baltimore,KMDBALTI223,39.327,-76.573
"POINT (-76.672 39.364)",Baltimore,KMDBALTI225,39.364,-76.672
"POINT (-76.569 39.282)",Baltimore,KMDBALTI226,39.282,-76.569
"POINT (-76.571 39.285)",Baltimore,KMDBALTI229,39.285,-76.571
"POINT (-76.618 39.37)",Baltimore,KMDBALTI235,39.37,-76.618
"POINT (-76.669 39.364)",Baltimore,KMDBALTI236,39.364,-76.669
"POINT (-76.656 39.367)",Baltimore,KMDBALTI239,39.367,-76.656
"POINT (-76.668 39.379)",Baltimore,KMDBALTI240,39.379,-76.668
"POINT (-76.609 39.277)",Baltimore,KMDBALTI242,39.277,-76.609
"POINT (-76.571 39.282)",Baltimore,KMDBALTI243,39.282,-76.571
"POINT (-76.585 39.284)",Baltimore,KMDBALTI244,39.284,-76.585
"POINT (-76.702 39.287)",Baltimore,KMDBALTI246,39.287,-76.702
"POINT (-76.593 39.291)",Baltimore,KMDBALTI249,39.291,-76.593
"POINT (-76.71563 39.28988)",Baltimore,KMDBALTI251,39.28988,-76.71563
"POINT (-76.593 39.283)",Baltimore,KMDBALTI254,39.283,-76.593
"POINT (-76.551 39.355)",Baltimore,KMDBALTI258,39.355,-76.551
"POINT (-76.68442 39.37312)",Baltimore,KMDBALTI259,39.37312,-76.68442
"POINT (-76.594 39.222)",Baltimore,KMDBALTI261,39.222,-76.594
"POINT (-76.598 39.29)",Baltimore,KMDBALTI262,39.29,-76.598
"POINT (-76.572 39.346)",Baltimore,KMDBALTI265,39.346,-76.572
"POINT (-76.628 39.308)",Baltimore,KMDBALTI276,39.308,-76.628
"POINT (-76.63 39.326)",Baltimore,KMDBALTI279,39.326,-76.63
"POINT (-76.557 39.431)",Baltimore,KMDBALTI282,39.431,-76.557
"POINT (-76.422 39.329)",Baltimore,KMDBALTI283,39.329,-76.422
"POINT (-76.608 39.216)",Baltimore,KMDBALTI287,39.216,-76.608
"POINT (-76.478 39.365)",Baltimore,KMDBALTI297,39.365,-76.478
"POINT (-76.62266 39.21022)",Baltimore,KMDBALTI299,39.21022,-76.62266
"POINT (-76.637 39.34)",Baltimore,KMDBALTI308,39.34,-76.637
"POINT (-76.516 39.407)",Baltimore,KMDBALTI310,39.407,-76.516
"POINT (-76.449 39.255)",Baltimore,KMDBALTI311,39.255,-76.449
"POINT (-76.76965 39.28545)",Baltimore,KMDBALTI316,39.28545,-76.76965
"POINT (-76.76067 39.26657)",Baltimore,KMDBALTI318,39.26657,-76.76067
"POINT (-76.75531 39.27674)",Baltimore,KMDBALTI319,39.27674,-76.75531
"POINT (-76.606 39.37)",Baltimore,KMDBALTI323,39.37,-76.606
"POINT (-76.608 39.275)",Baltimore,KMDBALTI327,39.275,-76.608
"POINT (-76.569 39.279)",Baltimore,KMDBALTI328,39.279,-76.569
"POINT (-76.696 39.376)",Baltimore,KMDBALTI329,39.376,-76.696
"POINT (-76.615 39.296)",Baltimore,KMDBALTI333,39.296,-76.615
"POINT (-76.53 39.399)",Baltimore,KMDBALTI338,39.399,-76.53
"POINT (-76.608 39.281)",Baltimore,KMDBALTI344,39.281,-76.608
"POINT (-76.768 39.273)",Baltimore,KMDBALTI345,39.273,-76.768
"POINT (-76.758 39.265)",Baltimore,KMDBALTI347,39.265,-76.758
"POINT (-76.6216 39.24718)",Baltimore,KMDBALTI349,39.24718,-76.6216
"POINT (-76.61535 39.32241)",Baltimore,KMDBALTI35,39.32241,-76.61535
"POINT (-76.619 39.358)",Baltimore,KMDBALTI353,39.358,-76.619
"POINT (-76.583 39.354)",Baltimore,KMDBALTI355,39.354,-76.583
"POINT (-76.642 39.404)",Baltimore,KMDBALTI358,39.404,-76.642
"POINT (-76.541 39.374)",Baltimore,KMDBALTI362,39.374,-76.541
"POINT (-76.60884 39.27197)",Baltimore,KMDBALTI365,39.27197,-76.60884
"POINT (-76.564 39.388)",Baltimore,KMDBALTI367,39.388,-76.564
"POINT (-76.76174 39.37649)",Baltimore,KMDBALTI371,39.37649,-76.76174
"POINT (-76.507 39.406)",Baltimore,KMDBALTI378,39.406,-76.507
"POINT (-76.59071 39.27502)",Baltimore,KMDBALTI390,39.27502,-76.59071
"POINT (-76.576 39.284)",Baltimore,KMDBALTI398,39.284,-76.576
"POINT (-76.64 39.242)",Baltimore,KMDBALTI399,39.242,-76.64
"POINT (-76.642 39.253)",Baltimore,KMDBALTI400,39.253,-76.642
"POINT (-76.484 39.416)",Baltimore,KMDBALTI401,39.416,-76.484
"POINT (-76.73433 39.24517)",Baltimore,KMDBALTI402,39.24517,-76.73433
"POINT (-76.708 39.232)",Baltimore,KMDBALTI406,39.232,-76.708
"POINT (-76.45073 39.27115)",Baltimore,KMDBALTI409,39.27115,-76.45073
"POINT (-76.484 39.416)",Baltimore,KMDBALTI410,39.416,-76.484
"POINT (-76.504 39.397)",Baltimore,KMDBALTI413,39.397,-76.504
"POINT (-76.642 39.374)",Baltimore,KMDBALTI415,39.374,-76.642
"POINT (-76.71 39.28)",Baltimore,KMDBALTI416,39.28,-76.71
"POINT (-76.57334 39.34929)",Baltimore,KMDBALTI42,39.34929,-76.57334
"POINT (-76.595 39.282)",Baltimore,KMDBALTI423,39.282,-76.595
"POINT (-76.6512 39.33462)",Baltimore,KMDBALTI424,39.33462,-76.6512
"POINT (-76.6157 39.27459)",Baltimore,KMDBALTI427,39.27459,-76.6157
"POINT (-76.60976 39.27314)",Baltimore,KMDBALTI43,39.27314,-76.60976
"POINT (-76.575 39.284)",Baltimore,KMDBALTI430,39.284,-76.575
"POINT (-76.56 39.356)",Baltimore,KMDBALTI433,39.356,-76.56
"POINT (-76.615 39.277)",Baltimore,KMDBALTI436,39.277,-76.615
"POINT (-76.565 39.283)",Baltimore,KMDBALTI441,39.283,-76.565
"POINT (-76.60727 39.36274)",Baltimore,KMDBALTI444,39.36274,-76.60727
"POINT (-76.606 39.363)",Baltimore,KMDBALTI448,39.363,-76.606
"POINT (-76.647 39.333)",Baltimore,KMDBALTI455,39.333,-76.647
"POINT (-76.581 39.283)",Baltimore,KMDBALTI456,39.283,-76.581
"POINT (-76.611 39.331)",Baltimore,KMDBALTI457,39.331,-76.611
"POINT (-76.66918 39.35939)",Baltimore,KMDBALTI473,39.35939,-76.66918
"POINT (-76.657 39.368)",Baltimore,KMDBALTI475,39.368,-76.657
"POINT (-76.66236 39.365)",Baltimore,KMDBALTI49,39.365,-76.66236
"POINT (-76.6067 39.3784)",Baltimore,KMDBALTI55,39.3784,-76.6067
"POINT (-76.61106 39.33791)",Baltimore,KMDBALTI61,39.33791,-76.61106
"POINT (-76.5949 39.27179)",Baltimore,KMDBALTI71,39.27179,-76.5949
"POINT (-76.633 39.206)",Brooklyn,KMDBROOK25,39.206,-76.633
"POINT (-76.73603 39.28054)",Catonsville,KMDCATON11,39.28054,-76.73603
"POINT (-76.72768 39.27734)",Catonsville,KMDCATON24,39.27734,-76.72768
"POINT (-76.72537 39.27163)",Catonsville,KMDCATON25,39.27163,-76.72537
"POINT (-76.7447 39.2694)",Catonsville,KMDCATON31,39.2694,-76.7447
"POINT (-76.73252 39.25722)",Catonsville,KMDCATON32,39.25722,-76.73252
"POINT (-76.77394 39.26991)",Catonsville,KMDCATON33,39.26991,-76.77394
"POINT (-76.75871 39.2679)",Catonsville,KMDCATON34,39.2679,-76.75871
"POINT (-76.75717 39.29858)",Catonsville,KMDCATON35,39.29858,-76.75717
"POINT (-76.76696 39.27499)",Catonsville,KMDCATON37,39.27499,-76.76696
"POINT (-76.75741 39.2758)",Catonsville,KMDCATON38,39.2758,-76.75741
"POINT (-76.74286 39.26337)",Catonsville,KMDCATON39,39.26337,-76.74286
"POINT (-76.71497 39.27765)",Catonsville,KMDCATON41,39.27765,-76.71497
"POINT (-76.72761 39.27545)",Catonsville,KMDCATON43,39.27545,-76.72761
"POINT (-76.76523 39.30305)",Catonsville,KMDCATON45,39.30305,-76.76523
"POINT (-76.746 39.273)",Catonsville,KMDCATON46,39.273,-76.746
"POINT (-76.76 39.27)",Catonsville,KMDCATON48,39.27,-76.76
"POINT (-76.757 39.267)",Catonsville,KMDCATON50,39.267,-76.757
"POINT (-76.75718 39.29858)",Catonsville,KMDCATON51,39.29858,-76.75718
"POINT (-76.75717 39.29858)",Catonsville,KMDCATON54,39.29858,-76.75717
"POINT (-76.747 39.279)",Catonsville,KMDCATON55,39.279,-76.747
"POINT (-76.725 39.27)",Catonsville,KMDCATON56,39.27,-76.725
"POINT (-76.741 39.27)",Catonsville,KMDCATON59,39.27,-76.741
"POINT (-76.722 39.278)",Catonsville,KMDCATON60,39.278,-76.722
"POINT (-76.725 39.252)",Catonsville,KMDCATON65,39.252,-76.725
"POINT (-76.77021 39.29727)",Catonsville,KMDCATON69,39.29727,-76.77021
"POINT (-76.776 39.282)",Catonsville,KMDCATON70,39.282,-76.776
"POINT (-76.526 39.168)",Clearwater Beach,KMDCLEAR8,39.168,-76.526
"POINT (-76.52285 39.24244)",Dundalk,KMDDUNDA13,39.24244,-76.52285
"POINT (-76.52151 39.2631)",Dundalk,KMDDUNDA15,39.2631,-76.52151
"POINT (-76.466 39.259)",Dundalk,KMDDUNDA17,39.259,-76.466
"POINT (-76.533 39.255)",Dundalk,KMDDUNDA19,39.255,-76.533
"POINT (-76.47328 39.25556)",Dundalk,KMDDUNDA20,39.25556,-76.47328
"POINT (-76.52292 39.24245)",Dundalk,KMDDUNDA29,39.24245,-76.52292
"POINT (-76.44441 39.21241)",Edgemere,KMDEDGEM4,39.21241,-76.44441
"POINT (-76.75846 39.22838)",Elkridge,KMDELKRI12,39.22838,-76.75846
"POINT (-76.75676 39.20838)",Elkridge,KMDELKRI16,39.20838,-76.75676
"POINT (-76.75603 39.20853)",Elkridge,KMDELKRI17,39.20853,-76.75603
"POINT (-76.74548 39.19879)",Elkridge,KMDELKRI20,39.19879,-76.74548
"POINT (-76.76329 39.20827)",Elkridge,KMDELKRI22,39.20827,-76.76329
"POINT (-76.773 39.199)",Elkridge,KMDELKRI25,39.199,-76.773
"POINT (-76.769 39.208)",Elkridge,KMDELKRI30,39.208,-76.769
"POINT (-76.752 39.203)",Elkridge,KMDELKRI31,39.203,-76.752
"POINT (-76.728 39.205)",Elkridge,KMDELKRI32,39.205,-76.728
"POINT (-76.74 39.204)",Elkridge,KMDELKRI35,39.204,-76.74
"POINT (-76.75747 39.18422)",Elkridge,KMDELKRI36,39.18422,-76.75747
"POINT (-76.74 39.192)",Elkridge,KMDELKRI37,39.192,-76.74
"POINT (-76.789 39.194)",Elkridge,KMDELKRI38,39.194,-76.789
"POINT (-76.78288 39.19849)",Ellicott City,KMDELLIC110,39.19849,-76.78288
"POINT (-76.775 39.244)",Ellicott City,KMDELLIC113,39.244,-76.775
"POINT (-76.76991 39.23431)",Ellicott City,KMDELLIC146,39.23431,-76.76991
"POINT (-76.7762 39.23171)",Ellicott City,KMDELLIC159,39.23171,-76.7762
"POINT (-76.776 39.22)",Ellicott City,KMDELLIC185,39.22,-76.776
"POINT (-76.78306 39.19717)",Ellicott City,KMDELLIC21,39.19717,-76.78306
"POINT (-76.78207 39.23962)",Ellicott City,KMDELLIC60,39.23962,-76.78207
"POINT (-76.77284 39.23219)",Ellicott City,KMDELLIC95,39.23219,-76.77284
"POINT (-76.466 39.304)",Essex,KMDESSEX37,39.304,-76.466
"POINT (-76.466 39.304)",Essex,KMDESSEX40,39.304,-76.466
"POINT (-76.485 39.306)",Essex,KMDESSEX49,39.306,-76.485
"POINT (-76.46579 39.30438)",Essex,KMDESSEX51,39.30438,-76.46579
"POINT (-76.46583 39.30453)",Essex,KMDESSEX53,39.30453,-76.46583
"POINT (-76.424 39.308)",Essex,KMDESSEX58,39.308,-76.424
"POINT (-76.46639 39.33112)",Essex,KMDESSEX6,39.33112,-76.46639
"POINT (-76.41838 39.2989)",Essex,KMDESSEX7,39.2989,-76.41838
"POINT (-76.58965 39.27923)",Fells Point,KMDFELLS4,39.27923,-76.58965
"POINT (-76.52129 39.44815)",Glen Arm,KMDGLENA3,39.44815,-76.52129
"POINT (-76.4761 39.43692)",Glen Arm,KMDGLENA4,39.43692,-76.4761
"POINT (-76.5212 39.44809)",Glen Arm,KMDGLENA5,39.44809,-76.5212
"POINT (-76.48937 39.44053)",Glen Arm,KMDGLENA6,39.44053,-76.48937
"POINT (-76.567 39.172)",Glen Burnie,KMDGLENB100,39.172,-76.567
"POINT (-76.64242 39.14974)",Glen Burnie,KMDGLENB117,39.14974,-76.64242
"POINT (-76.534 39.157)",Glen Burnie,KMDGLENB118,39.157,-76.534
"POINT (-76.56242 39.1478)",Glen Burnie,KMDGLENB12,39.1478,-76.56242
"POINT (-76.642 39.15)",Glen Burnie,KMDGLENB125,39.15,-76.642
"POINT (-76.6401 39.18831)",Glen Burnie,KMDGLENB127,39.18831,-76.6401
